primarypropertytype,taxparcelidentificationnumber,neighborhood,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,listofallpropertyusetypes,largestpropertyusetype,energystarscore,steamuse,naturalgas,totalghgemissions,zipcode,longitude,age
K-12 School,2826049152,NORTH,1,2,236758,0,"K-12 School, Parking",K-12 School,96.0,False,True,222.78,98125.0,-122.29453,12
Other,2908700085,CENTRAL,3,6,250981,0,"Courthouse, Other",Other,,True,True,422.39,98122.0,-122.31549,52
K-12 School,2919200635,NORTHWEST,1,3,62526,0,K-12 School,K-12 School,96.0,False,True,54.07,98117.0,-122.35996,21
Other,0660001215,DOWNTOWN,1,11,299070,68432,Other,Other,,False,True,2055.82,98101.0,-122.33448,19
Small- and Mid-Sized Office,2924049043,GREATER DUWAMISH,1,3,64015,0,"Non-Refrigerated Warehouse, Office, Other - Services",Office,21.0,False,True,49.58,98108.0,-122.31768,16
Retail Store,2926049025,NORTH,1,1,530039,0,"Restaurant, Retail Store",Retail Store,98.0,False,True,723.47,98125.0,-122.3255,72
Other,2926049409,NORTH,1,3,54224,0,Other/Specialty Hospital,Other/Specialty Hospital,,False,True,231.53,98125.0,-122.321,59
Retail Store,2926049528,NORTH,1,4,124342,0,Retail Store,Retail Store,76.0,False,True,66.3,98125.0,-122.32586,58
Hospital,2982800005,NORTHEAST,6,10,879000,0,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),10.0,False,True,8145.52,98105.0,-122.28146,70
Other,3026049024,NORTHWEST,1,3,55442,0,"Financial Office, Medical Office, Parking",Financial Office,72.0,False,True,83.7,98133.0,-122.3345,27
K-12 School,3050700050,BALLARD,1,2,242795,0,K-12 School,K-12 School,80.0,False,True,123.71,98117.0,-122.37489,24
Self-Storage Facility,3225049002,EAST,1,5,84870,0,Self-Storage Facility,Self-Storage Facility,,False,True,51.11,98122.0,-122.3171,113
University,3226049021,NORTHWEST,11,2,694072,111625,College/University,College/University,,False,True,362.82,98103.0,-122.33401,53
K-12 School,3332501090,SOUTHEAST,1,2,173185,0,K-12 School,K-12 School,79.0,False,True,242.36,98118.0,-122.28198,71
K-12 School,3438501230,DELRIDGE,1,1,145341,0,K-12 School,K-12 School,75.0,False,True,206.01,98106.0,-122.36214,60
Warehouse,3466800065,GREATER DUWAMISH,1,4,114297,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61.0,False,True,69.44,98108.0,-122.31869,119
K-12 School,3524049149,SOUTHEAST,1,2,184125,0,K-12 School,K-12 School,86.0,False,True,328.97,98118.0,-122.26586,63
K-12 School,3526039131,BALLARD,1,1,160270,0,K-12 School,K-12 School,,False,True,229.38,98117.0,-122.3776,64
Warehouse,3573700006,GREATER DUWAMISH,1,1,234144,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,87.0,False,True,297.43,98134.0,-122.33328,86
Retail Store,3624039009,DELRIDGE,1,1,64984,0,Retail Store,Retail Store,72.0,False,True,35.78,98126.0,-122.36627,57
Retail Store,3624039009,DELRIDGE,1,1,67745,0,Retail Store,Retail Store,37.0,False,True,369.14,98126.0,-122.36627,58
K-12 School,3624039032,DELRIDGE,1,2,367884,0,K-12 School,K-12 School,97.0,False,True,272.85,98126.0,-122.36511,13
K-12 School,3624039057,DELRIDGE,1,1,46797,0,K-12 School,K-12 School,86.0,False,True,73.47,98126.0,-122.37074,65
K-12 School,3646100540,CENTRAL,1,3,136188,0,K-12 School,K-12 School,,False,True,170.9,98144.0,-122.30415,60
Other,3693901110,BALLARD,1,3,56000,0,Other,Other,,False,True,59.34,98117.0,-122.39631,50
K-12 School,3812400550,SOUTHEAST,1,2,67371,0,K-12 School,K-12 School,92.0,False,True,46.36,98118.0,-122.27691,19
Self-Storage Facility,3874900040,SOUTHWEST,1,2,52088,0,Self-Storage Facility,Self-Storage Facility,,False,True,48.99,98126.0,-122.37737,54
K-12 School,4083301505,LAKE UNION,1,3,127776,0,K-12 School,K-12 School,75.0,False,True,80.08,98103.0,-122.33803,13
Hotel,4088802955,LAKE UNION,1,5,123920,30000,"Hotel, Parking, Swimming Pool",Hotel,79.0,False,True,309.6,98109.0,-122.32906,25
Other,4088803210,LAKE UNION,1,1,50000,0,Museum,Museum,,False,True,225.69,98109.0,-122.33661,123
Warehouse,4088803530,MAGNOLIA / QUEEN ANNE,1,2,50292,0,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,,False,False,3.0,98109.0,-122.34084,97
Hotel,4088803586,MAGNOLIA / QUEEN ANNE,1,7,207656,54341,Hotel,Hotel,76.0,False,True,338.16,98109.0,-122.34045,25
K-12 School,4240400005,BALLARD,1,2,67235,0,K-12 School,K-12 School,89.0,False,True,49.12,98117.0,-122.37308,24
Small- and Mid-Sized Office,4310701070,NORTHWEST,1,2,91130,0,"Data Center, Distribution Center, Office, Other, Parking",Office,,False,True,175.77,98103.0,-122.34136,66
K-12 School,4315700020,SOUTHWEST,1,3,58118,0,K-12 School,K-12 School,97.0,False,True,21.29,98136.0,-122.3885,32
Hotel,4468400005,NORTHWEST,1,4,64893,0,Hotel,Hotel,70.0,False,True,208.26,98133.0,-122.33216,55
K-12 School,5129000050,GREATER DUWAMISH,1,1,70762,0,K-12 School,K-12 School,87.0,False,True,168.88,98108.0,-122.29591,98
Small- and Mid-Sized Office,5247800030,DOWNTOWN,1,3,44558,0,"Office, Restaurant, Self-Storage Facility",Office,78.0,False,True,28.27,98104.0,-122.33518,123
Other,7666204876,GREATER DUWAMISH,1,6,1585960,327680,"Other - Entertainment/Public Assembly, Parking",Other - Entertainment/Public Assembly,,False,True,892.63,98134.0,-122.33159,24
Distribution Center,7666205660,GREATER DUWAMISH,1,2,179161,0,"Data Center, Distribution Center, Office, Other",Distribution Center,,False,True,96.43,98134.0,-122.32811,99
Warehouse,7666205660,GREATER DUWAMISH,1,2,58640,0,"Non-Refrigerated Warehouse, Office, Other, Other - Services",Non-Refrigerated Warehouse,,False,False,27.39,98134.0,-122.32811,58
Other,7666206483,GREATER DUWAMISH,1,3,1172127,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,False,True,1246.55,98134.0,-122.33354,24
Hotel,7666206720,GREATER DUWAMISH,1,9,168449,14567,"Food Service, Hotel, Parking",Hotel,64.0,False,True,388.37,98134.0,-122.33372,18
Warehouse,7666703020,GREATER DUWAMISH,1,4,79600,0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,34.0,False,False,16.81,98134.0,-122.35747,107
K-12 School,7821200700,LAKE UNION,1,4,241066,0,K-12 School,K-12 School,79.0,False,True,270.97,98103.0,-122.33962,26
Large Office,7883608601,GREATER DUWAMISH,14,2,334368,31874,"Laboratory, Non-Refrigerated Warehouse, Office, Other - Utility",Office,,False,True,748.55,98108.0,-122.31234,43
Other,8632880000,NORTH,1,6,419848,335109,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,,False,True,162.41,98125.0,-122.32532,15
Mixed Use Property,8681450000,MAGNOLIA / QUEEN ANNE,1,4,110785,0,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",Multifamily Housing,,False,True,92.91,98119.0,-122.35756,21
Mid-Rise Multifamily,8729690000,DOWNTOWN,1,7,116947,0,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",Multifamily Housing,,False,True,279.35,98121.0,-122.34153,20
Hotel,6792120000,DOWNTOWN,1,1,934292,0,"Hotel, Other, Parking, Restaurant, Retail Store",Hotel,,False,True,1638.46,98101.0,-122.3333,24
Hospital,7942600331,CENTRAL,6,5,597519,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),34.0,False,True,4906.33,98122.0,-122.30966,33
K-12 School,7972603210,DELRIDGE,1,1,71714,0,K-12 School,K-12 School,87.0,False,True,36.24,98106.0,-122.34828,24
Warehouse,8033700250,LAKE UNION,1,3,75397,8161,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,91.0,False,True,9.63,98103.0,-122.34227,32
Hospital,8590900220,EAST,9,8,1158691,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),29.0,True,True,10734.57,98104.0,-122.32377,23
Senior Care Community,8592900105,DOWNTOWN,1,5,102796,12611,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,,False,True,193.94,98104.0,-122.3218,24
K-12 School,8702100050,SOUTHWEST,1,2,208981,0,K-12 School,K-12 School,80.0,False,True,207.79,98116.0,-122.38459,21
Mid-Rise Multifamily,8725600350,EAST,1,6,51976,0,Multifamily Housing,Multifamily Housing,34.0,False,True,145.31,98101.0,-122.32785,114
K-12 School,8816400900,NORTHEAST,1,2,55653,0,K-12 School,K-12 School,98.0,False,True,72.88,98105.0,-122.31368,95
Hotel,8817400055,NORTHEAST,1,16,106860,0,Hotel,Hotel,49.0,False,True,469.57,98105.0,-122.31457,92
Small- and Mid-Sized Office,8822900465,NORTH,1,5,50759,0,"Office, Restaurant",Office,62.0,False,True,49.09,98125.0,-122.29475,51
Worship Facility,8823902255,NORTHEAST,1,2,56772,0,Worship Facility,Worship Facility,46.0,False,True,84.57,98105.0,-122.31113,71
Worship Facility,8823902325,NORTHEAST,1,3,103000,0,Worship Facility,Worship Facility,42.0,False,True,149.93,98105.0,-122.31164,71
K-12 School,8826900005,NORTHEAST,1,3,269297,0,K-12 School,K-12 School,80.0,False,True,225.19,98115.0,-122.31281,17
K-12 School,8827900180,NORTHEAST,1,3,75174,0,K-12 School,K-12 School,77.0,False,True,71.86,98115.0,-122.29221,22
K-12 School,9270200005,MAGNOLIA / QUEEN ANNE,1,3,75214,0,K-12 School,K-12 School,88.0,False,True,43.98,98119.0,-122.3656,20
K-12 School,9278300005,SOUTHWEST,1,3,134918,0,K-12 School,K-12 School,91.0,False,True,69.42,98116.0,-122.39028,18
K-12 School,9344400300,CENTRAL,1,2,64414,0,K-12 School,K-12 School,67.0,False,False,16.0,98144.0,-122.29985,32
K-12 School,9528103775,NORTHWEST,1,3,92437,0,K-12 School,K-12 School,78.0,False,True,201.05,98115.0,-122.32232,96
Other,2141290000,DOWNTOWN,1,7,128766,0,"Office, Other, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,,False,True,57.21,98101.0,-122.33238,109
Residence Hall,2301950000,DOWNTOWN,1,9,107572,0,"Office, Residence Hall/Dormitory, Retail Store",Residence Hall/Dormitory,76.0,True,False,254.87,98101.0,-122.33266,110
Other,2302700000,DOWNTOWN,1,15,230880,0,Other,Other,,False,False,433.6,98101.0,-122.33481,68
Low-Rise Multifamily,3388120000,DELRIDGE,1,4,56617,0,Multifamily Housing,Multifamily Housing,15.0,False,True,50.52,98106.0,-122.36301,106
Mid-Rise Multifamily,3993000000,NORTH,1,6,56745,0,Multifamily Housing,Multifamily Housing,54.0,False,True,59.63,98125.0,-122.29181,14
Low-Rise Multifamily,6434000000,GREATER DUWAMISH,1,4,67920,0,"Medical Office, Multifamily Housing, Office, Retail Store",Multifamily Housing,,False,True,23.8,98118.0,-122.28406,20
